payload_entropy,topic_diversity,temporal_clustering_score,normal_emergency_ratio,inter_alert_interval_mean,freq_rolling_std_5w,inter_interval_variance,alert_rate_acceleration,label,attack_type
4.198708371374835,2.0,1.0,166.23076923076923,0.0273930905386805,0.0,8.10588969683708e-17,-13.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,5.813776741499454,5.887546342709162e-17,13.0,1,normal
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,7.12039324756716,5.887546342709162e-17,13.0,1,normal
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,7.12039324756716,5.887546342709162e-17,13.0,1,normal
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,5.813776741499454,5.887546342709162e-17,-13.0,1,normal
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,0.0,5.887546342709162e-17,-13.0,1,normal
4.404297744632956,2.0,1.0,166.15384615384616,0.0273930902282396,0.0,5.887546342709162e-17,-13.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1811.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1449.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1087.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,725.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,363.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,363.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,725.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1087.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1449.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1811.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1811.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1449.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1087.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,725.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,363.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,363.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,725.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1087.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1449.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,1811.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
